00:00 ~ 00:07 -  으 으
36:30 ~ 36:37 -  이렇게 4개가 원래는 다 지정이 돼야 되는 거죠 근데 이 중에서 우리가 이 람다식대에서 얘네를 사용하지 않습니다
36:37 ~ 36:46 -  하나 둘 세 번째 것만 쓰고 네 번째 첫 번째 두 번째 네 번째 건을 사용하지 않는다 그러면은 이런식으로 언더바로 이렇게 만들어 주시면 되는 거죠
36:40 ~ 37:00 - listView.setnItemClickListener 1 mArray[i].name
37:00 ~ 37:03 -  밑줄은 언제 또 유용하냐면요
37:00 ~ 37:20 - ,
37:03 ~ 37:07 -  숫자에서 읽기 쉽게 하기 위해서
37:07 ~ 37:10 -  예를 들면 1000단위, 100만단위 이렇게
37:10 ~ 37:13 -  언더바를 써주면
37:13 ~ 37:16 -  그게 숫자가 예를 들면 3000이다 그러면
37:16 ~ 37:20 -  3 언더바 0 0 0 이런 식으로 지원을 해줍니다
37:20 ~ 37:25 -  그래서 우리가 읽기가 굉장히 편하죠 0이 많거나 숫자가 길면은
37:20 ~ 37:40 - mArray[i].name,
37:25 ~ 37:29 -  몇백만
37:30 ~ 37:41 -  몇백 몇십만 이렇게 해서 우리가 읽어야 되는데 굉장히 힘들죠. 그래서 언더바 있으면 그런 것들을 읽기가 편해질 겁니다.
37:40 ~ 38:00 - when 범위도 처리 switch-case 문 생각하면 됨 다른 언어에 비해 강력함 변수에서 (v?.id) btnGundam.id intent.putExt:ra(KEY_NAME, "RX-78-2") btnZaku.id "MS-06S") 스트링도처리예제 (intent.getstringExtra ("name ")) "RX-78-2" > imageView2.setImageResource (R.drawable.rx782) "MS-06S" imageView2.setImageRessource (R.drawable.ms06s) else (R.drawable.ic launcher background) 23
37:41 ~ 37:47 -  그 다음에 when 이라고 하는 것은 스위치 케이스 문장이라고 보시면 되겠는데요.
37:47 ~ 37:53 -  이거는 예제 보시면 아마 쉽게 보실 텐데 굉장히 강력합니다.
37:53 ~ 38:00 -  그래서 integer 처리할 때는 이렇게 when 해서 v? 이렇게 되어있는 것은 nullable 이라
38:00 ~ 38:05 -  그래서 이게 만약에 v가 null 이라고 하면 null인 경우에 리턴을 하게 되는 거구요
38:00 ~ 38:20 - (va.id) (intent.getStringExtra
38:05 ~ 38:14 -  만약에 null이 아니다 그러면 여기 id 이걸 가지고 다른 거랑 맞아서 이거다 그러면 여기 이렇게 마이너스 하고 꺽쇠 화살표 모양으로 되어 있는 이
38:14 ~ 38:19 -  오른쪽에 있는 걸 실행을 해주고요 지금 여기서 한 줄만 있는데 만약에 여러 줄을 해야 된다 그럼 이거를
38:19 ~ 38:22 -  블록으로 만들어어주시면 되겠습니다
38:22 ~ 38:24 -  그 다음에 정말 막강한게 이런거죠
38:24 ~ 38:27 -  이것 말고도 많이 있는데요
38:27 ~ 38:30 -  스트링 이런것도 처리가 가능합니다
38:30 ~ 38:37 -  string을 가져왔다면 거기에 이런 식으로 string을 가지고 매칭을 해가지고 처리해 줄 수도 있구요
38:37 ~ 38:43 -  else 해가지고 이런 것도 처리가 가능하구요 굉장히 다양한 것들이
38:43 ~ 39:00 -  범위 같은 것도 쓸 수 있구요 굉장히 다양하게 사용할 수 있습니다 자 그 다음에 for loop가 우리가 맨날 사용하는 이런 것 있죠?
39:00 ~ 39:04 -  아쉬운거에요. 왜 굳이 뺄 이유가 있었을까 싶은데요.
39:00 ~ 39:20 - 전형적인 for loop는 허용하지 않음 (inti=0;i<10;i++)안됨 일반적인 (i in 0..9)로 써야함 downTo, step (i in 9..0) 안됨,for (i in 9 downTo 0){ 숫자가 정해지지 않은 (i in 0 unitl mArray.size) (i: 0 until items.length()) 컬렉션 처리 item JSONObject items[i] model String! item.getString( name: "model") (item mArray) name · "name") "image") Log.i( taq: "Gundam" model) mArray.add(Gundam(model, name, image)) 24
39:04 ~ 39:08 -  나중에 확장이 되면서 넣어줄 수도 있을지 모르겠는데요.
39:08 ~ 39:13 -  일단은 만약에 똑같은 걸 쓴다 라고 하면 이런 식으로 써 줘야 됩니다.
39:13 ~ 39:19 -  for i in 0.9 이런식으로 써 주게 되는 거죠.
39:19 ~ 39:24 -  근데 만약에 뒤에 있는 게 여기처럼 아예 숫자가 아닌 경우,
39:20 ~ 39:40 - (inti=0;i<10;i++) 안됨 (i m 0.9)로 써야함
39:24 ~ 39:30 -  0에서 until으로 작을 때까지 동작합니다.
39:30 ~ 39:37 -  이런식으로 써주는게 좋겠다는 거죠. 그 다음에 이런거 말고 컬렉션 처리 같은 것도 예를 들면 item in mArray
39:37 ~ 39:45 -  이런것도 mArray에 있는 array 아이템들 하나씩을 처리할 때 이런식으로 써줄 수 있습니다.
39:45 ~ 40:00 -  굉장히 강력합니다. 자 그 다음에 return break, 이건 그렇게 많이 쓰일 것 같진 않은데요. 레이블을 지정해서 M마크로 지정할 수 있습니다.
40:00 ~ 40:12 -  어디까지 브레이크를 할 건지 이런 것을 쓸 때 이렇게 break, nmark, loop1 이렇게 써줄 수 있는 그런 거라고 보시면 되겠구요
40:00 ~ 40:20 - return, break label @로 지정 중첩되어있을때어떤 것에 대한 것인지 명확히알려줌 안에 또 for가 있는 break를 통해 바깥의 for를 종료하고 싶을 때 사용 break와 마찬가지로 함수 안에 함수가 있을 때, 특히 식에 서 하면 밖의 함수가 되므로 지정필요 mplayer mplayer?.run stop () return@run 25
40:12 ~ 40:19 -  그 다음에 return 같은 경우에도 만약에 지금 여기 이게 함수 안인데 함수 안에 이렇게 람다식이 있다고 했을 때 그냥 return을 하게 되면
40:19 ~ 40:22 -  이 함수 자체가 return을 해 버리니까
40:20 ~ 40:40 - for가 return하면
40:22 ~ 40:25 -  지금 나는 여기서 이 run이라고 하는
40:25 ~ 40:28 -  이거를 return하겠다 라는 식으로
40:28 ~ 40:30 -  이렇게 쓸 때도 써줍니다
40:30 ~ 40:40 -  자 그 다음에 이렇게 두 개 있는 것도 프로그래머가 아닌 사람들이 보기에는 좀 이상한데요
40:40 ~ 40:41 -  코틀린에서는 세 개가 있습니다
40:40 ~ 41:00 - = 및 프로그래머가 아닌 일반인들이 잘 이해못하는 것 중에 =가 있는데 Kotlin은 3개 짜리도 있음 (2개) a "Hello" b "Hello+" 값이 같은지 비교 c:String = a b.filter != ! println(b) 의의대대 if (a == b) println("a == b") == c) (3개) println("a==c") == 객체를 가리키면 true === b) printin("a b") c) c") 의의대 HeLLo C 26
40:41 ~ 40:45 -  두 개는 뭐냐면 값이 같은지 비교하는 거고요
40:45 ~ 40:53 -  이거의 반대는 여기 하나 대신에 느낌표를 쓰니까 느낌표 하나에 equal 하나를 쓰는 거죠.
40:53 ~ 41:00 -  근데 여기 세 개 짜리는 뭐냐면요. 같은 객체를 가리키고 있는지, 레퍼런스가 같은 것을 가리키고 있는지 객체를 가려
41:00 ~ 41:07 -  그래서 만약에 이의 반대다 그러면은 맨 앞에 있는 equal이 느낌표로 대체가 되니까
41:00 ~ 41:20 - 같은지 비교 println("a== c") 같은 객체를 =의의대 Hello
41:07 ~ 41:11 -  느낌표 하나에 equal이 두 개 있는 이런 것을 쓰게 되면은
41:11 ~ 41:15 -  같은 객체를 가리키지 않을 때라고 하는 것을 얘기해 주고 있죠.
41:15 ~ 41:25 -  자 여기에 지금 보시면 a 라고 하는 건 hello, b 라고 하는 것은 hello plus니까 서로 객체가 다르죠.
41:20 ~ 41:40 - ==가 ※=
41:25 ~ 41:30 -  만약에 똑같이 hello를 썼다면 같은 객체를 가리키고 있습니다.
41:30 ~ 41:37 -  hello plus를 만들어 놓은 거죠. 그렇게 해놓고 b에서 plus가 아닌 것만 꺼내라 했으니까요.
41:37 ~ 41:45 -  lambda식으로 이렇게 굉장히 편하게 쓸 수 있죠. is라고 하는게 lambda식에서 파라미터 지정하지 않았을 때 쓰는 거라고 했으니까요.
41:40 ~ 42:00 - { ¥
41:45 ~ 41:53 -  여기 있는 이 각각 h,e,l,l,o,w 이거를 여기서 체크하는 겁니다. 그래서 w 인 경우에 not equal 인 경우에만
41:53 ~ 41:56 -  이거를 true 로 만드는 경우에만 들어가니까
41:56 ~ 42:00 -  이걸 쓰게 되면 플러스가 제외가 되겠죠.
42:00 ~ 42:05 -  그래서 여기 있는 hello plus 에서 어 이거를 돌리게 되면은
42:00 ~ 42:20 - =a 거 =의의 대
42:05 ~ 42:16 -  hello 라고 하는 것은 남구요. plus가 없어지게 되니까 값은 똑같은데 다른 객체를 가리키게 되겠죠. 그래서 b는 다른 객체 라고 했을 때
42:16 ~ 42:21 -  만약에 a 하고 b 하고 같냐 라고 했을 경우에는 같다고 나오게 되구요
42:20 ~ 42:40 - 가 있는데
42:21 ~ 42:26 -  그 다음에 a 하고 c 하고 같냐 그러면은 a 하고 c 하고는 같겠죠
42:26 ~ 42:30 -  그러니까 a 하고 c 하고 같게 나오구요 그 다음에 a 하고 b 가
42:30 ~ 42:38 -  만약에 3개짜리로 갔냐 라고 했을 경우에는 a 하고 b는 서로 다른 객체를 가리키고 있죠. 그러니까 얘는 출력이 되지 않는 겁니다.
42:38 ~ 42:47 -  그 다음에 a 하고 c는 a를 c에다 넣었으니까요. 같은 걸 참조하고 있으니까 a 하고 c가 출력되는 것을 보실 수 있겠죠.
42:47 ~ 42:53 -  자 그 다음에 let 이라든지 run 이런 것들을 여러분들이 많이 사용하시면 편할 건데요.
42:53 ~ 43:00 -  객체에 대한 코드 블록을 실행하는 겁니다. 그래서 블록 실행 결과를 리턴해주게 되는 건데요.
43:00 ~ 43:08 -  let 이라고 하는 것은 블록 내에서 앞에 있는 것을 리시버 객체 라고 하는데 이 리시버 객체를 lambda expression의
43:00 ~ 43:20 - let,run 객체에 대한 코드 실행 (mPlayer !== mPlayer!!.stop() 실행 결과 mPlayer let mPlayer?.Let MediaPlayer receiver it.stop() ^let Expression의 it으로 사용 // //return@Let run this이므로 생략 가능 mPlayer?.run this: stop() ^run 오른쪽 5개의 표현동일 //return@run mPlayer가 아니라면 mPlayer의 stop()을 호출하고 mPlayer?.stop().let mP1ayer mPlayer에 지정 mPlayer?.stop().Let 27
43:08 ~ 43:16 -  is 으로 사용을 하게 됩니다. 여기 보시면 let을 쓰면 여기 is 이라고 되어 있죠. 그래서 let 이라고 하는 것은 is 으로 되어 있는 거구요
43:16 ~ 43:22 -  run 이라고 하는 것은 블록 내에서 this 를 사용하니까 빼도 됩니다. dis 라는 것은 안 써도 되니까요.
43:20 ~ 43:40 - 블록 실행
43:22 ~ 43:24 -  예를 들면 예제를 한번 보실까요?
43:24 ~ 43:25 -  원래 이런 예제가 있는 거죠.
43:25 ~ 43:30 -  그래서 mplayer가 null이 아니라면
43:30 ~ 43:34 -  이 아니니까 느낌표 느낌표 해서 얘는 널이야 널이 아닌게 확실하다 라고 써줘도 되겠죠
43:34 ~ 43:42 -  그래서 엔플레이어의 스탑을 불러주는 겁니다 그렇게 하고 엔플레이어 엔플레이어 에다가 너를 넣어 주는 이런 문장이 있다는 거죠
43:40 ~ 44:00 - =+ull mPlayer?.let
43:42 ~ 43:52 -  이거랑 전부 다 지금 여기가 똑같은 겁니다 그래서 얘랑 똑같은 걸 쓸 때 어떻게 썼냐면요 뭔가 여기에 있는 이 결과를 엔플레이어에다 넣어라 라고 되있죠
43:52 ~ 44:00 -  여기에 엔플레이어의 물음표가 있습니다 그리고 여기에 let이 있으니까 뭐냐면요 엔플레이어가 만약에 null이다
44:00 ~ 44:05 -  라고 했을 경우에는 이거를 아무것도 실행을 하지 않는 거죠
44:00 ~ 44:20 - △
44:05 ~ 44:10 -  근데 이게 만약에 null이 아니다 라고 했을 경우엔 let a 라고 되어 있구요 안에서는 it을 사용한다고 했으니까
44:10 ~ 44:18 -  이 employer.stop 대신에 it.stop을 불러주는 거죠 그리고 여기에 꺽쇠 let이라고 하는 것은 제가 쓴 것이 아니고
44:18 ~ 44:24 -  자동으로 이렇게 넣어 주는 거죠 그래서 이 null이라고 하는 것을 반환을 해 줘 가지고
44:24 ~ 44:28 -  여기에 있는 mplay에다가 넣어주는
44:28 ~ 44:30 -  이렇게 써도 마찬가지고요
44:30 ~ 44:35 -  return 하고 이렇게 n 마크 쓰는거 말씀드렸었죠. 그래서 이렇게 쓸 수도 있구요
44:35 ~ 44:40 -  여기서는 run을 쓰는 건데요. 이 run이라고 하는 블록 내에서는 this를 사용합니다. 그러니까
44:40 ~ 44:48 -  this인 경우에는 여기 점을 이렇게 쓸 필요가 없으니까 stop을 써 가지고 나머지 똑같이 여기는 return at run이 되겠구요
44:48 ~ 44:52 -  자 이렇게 쓰실 수 있구요. 그 다음에 여기에 보면은 한 줄로 썼네요.
44:52 ~ 45:00 -  mplayer? .stop 해가지고 let 한 다음에
45:00 ~ 45:02 -  그러니까 점점 이렇게 연결해서 썼죠?
45:02 ~ 45:04 -  stop을 하고 그 다음에 let 해가지고
45:04 ~ 45:06 -  null을 넣어라 이렇게 하셔도 되겠고요
45:06 ~ 45:08 -  그 다음에 여기 보면은
45:08 ~ 45:11 -  nplayer에 stop을 하고 let을 해가지고
45:11 ~ 45:13 -  null을 return을 하니까
45:13 ~ 45:17 -  그거를 nplayer에 넣어라 이렇게 하실 수 있겠습니다
45:17 ~ 45:20 -  여러분들께서 편하신 걸로 쓰셔도 되는데요
45:20 ~ 45:22 -  글쎄 눈으로 보기에는 이게 제일 편할 것 같고요
45:20 ~ 45:40 - = full
45:22 ~ 45:25 -  좀 익숙해지시면 이런 것도 눈에 잘 들어오겠죠
45:27 ~ 45:30 -  자 그 다음에 apply with also 이런 것들이 있는데요
45:30 ~ 45:35 -  apply라고 하는 것은 여러 개 값을 지정을 할 때 나중에 우리가 써볼 코드인데요.
45:35 ~ 45:40 -  recyclerView.apply 해가지고 이런 식으로
45:40 ~ 45:48 -  recyclerView.setHashFixedSize, recyclerView.layoutManager 이렇게 각각을 다 써 줘야 되는데
45:40 ~ 46:00 - apply, with, also apply 개 지정할 때 편리 객체 recyclerView.apply RecyclerView! SetHasFixedSize(true) LayoutManager LinearLayoutManager(applicationCntext) itemAnimator DefaultItemAninator() adapter GundamAdapter() with (context 객체) context 객체가 non-null일때 also 사용하지 않을 때 사용하면 좋음 28
45:48 ~ 45:53 -  그런 것을 쓰지 않고 apply라고 하는 걸로 써주는 것이 가능하게 됩니다.
45:53 ~ 46:00 -  그 다음에 Width라고 하는 것은 Context 객체, 이 Width하고 뒤에 객체를 써주는데요.
46:00 ~ 46:03 -  none null일 때 사용하는 것입니다.
46:00 ~ 46:20 - setHasFixedSize(true)
46:03 ~ 46:07 -  그 다음에 also라고 하는 것은 코드블랙 내에서
46:07 ~ 46:10 -  리시버를 사용하지 않을 때 사용하면 좋다고 했습니다.
46:10 ~ 46:12 -  이것과 무관하게 쓸 때
46:12 ~ 46:15 -  이 리시버, 예를 들면 여기
46:15 ~ 46:18 -  recyclerView.also를 했다고 하면
46:18 ~ 46:20 -  여기서는 지금 관련된 것을 썼잖아요.
46:20 ~ 46:23 -  그런데 이 recyclerView하고 상관없는 걸 쓸 때는 이런 올 수 올 수는
46:20 ~ 46:40 - itemAR*mator
46:23 ~ 46:27 -  것이 좋겠다 라고 되어 있습니다
46:28 ~ 46:30 -  자 그 다음에 여러분들께
46:30 ~ 46:41 -  여러분들께서 프로그램을 짜시다가 만약에 웹 같은 데 보면은 구글 검색이나 이런걸 하다보면은 기존 자바 클래스로 만들어져 있는 그런 코드들이
46:40 ~ 47:00 - 코드로부터의변환 메뉴에서 Code-Convert File to 누르면 확장자가.kt로 변경되면 Kotlin 코드로 변경됨 소스 코드 변환한 후에 비교해볼수있음 코드 복사 코드 복사한 후 붙여넣기 실행하면 코드로변환되어 입력됨 인터넷에서 유용한 Android를 위한 찾으면 복사 후에 붙 여넣기로 활용 가능 29
46:41 ~ 46:49 -  많이 보실 수 있을 텐데요. 그거를 가지고 온 다음에 메뉴에서 자바 클래스를 그대로 가지고 온 다음에 메뉴에서
46:49 ~ 46:53 -  코드 컨버트 자바 파일 투 코트 트림 파lin File 이러면 기존에 만들었던
46:53 ~ 46:57 -  기탑에서 받았던 이런 자바 클래스들이 변경되는 걸 보실 수 있고요
46:57 ~ 47:00 -  그런게 아니고 그냥 웹에서 긁어다가 쓸 때
47:00 ~ 47:07 -  ctrl-c를 한 다음에 코드를 ctrl-c를 하고 ctrl-v를 붙였으면
47:00 ~ 47:20 - 확장자가.kt로변경되면 Kotlin 코드로 변환되어
47:07 ~ 47:14 -  코틀링 코드로 변환되니까요 여러분들이 어떻게 변환되는지 보시고 쓰시면 되는데요
47:14 ~ 47:20 -  잘 안될 때도 있습니다 그러니까 여러분들이 좀 주의해 가지고 쓰시면 좋을 것 같구요
47:20 ~ 47:22 -  그 다음에 프로그래밍 할 때 유용한 사이트들
47:20 ~ 47:40 - 프로그래밍할 때유용한 사이트 프로그래밍 가이드(일부한글) https://developer.ardroid.com/guide/ 가이드 https://developer.ardroid.com/kotlin/ (일부한글) https://kotlinlang.crg/docs/reference/basic-syntax.html Koans (문법 Tutorial) https://play.kotlinlaing.org/koans/overview Google 검색 StackOverflow GitHub 30
47:22 ~ 47:24 -  안드로이드 프로그래밍은 역시
47:24 ~ 47:27 -  developerandroid.com이 되겠죠.
47:27 ~ 47:30 -  그 다음에 Kotlin에 해당하는 것
47:30 ~ 47:36 -  그 다음에 KotlinRang.org 라고 하는 것도 있습니다.
47:36 ~ 47:40 -  나머지 것들도 있으니까요. 여러분들이 유용하게 사용하도록 하시고요.
47:40 ~ 47:43 -  그 다음에 이거는 프로그래밍은 아닌데
47:40 ~ 48:00 - 프로그래밍 가이드
47:43 ~ 47:47 -  프로그램 짤 때 좀 알면 좋지 않을까 싶은 것들이라서
47:47 ~ 47:49 -  여기다가 놔봤습니다.
47:49 ~ 47:54 -  프로그래밍 변수 이름 생성할 때 많이 곤란해 하셨나요?
47:54 ~ 47:57 -  그러면 이런 사이트 한번 들어가 보도록 하시고요
47:57 ~ 48:00 -  그 다음에 네이버에서 무료 강좌
48:00 ~ 48:06 -  제공하는게 있으니까 이런 것도 한번 들어가 보시구요 그 다음에 무료 이미지 라든지 음원
48:00 ~ 48:20 - 유용한 사이트 프로그래밍변수이름 생성 https://www.curioustore.com/ 네이버 무료 강좌 플랫폼 https://www.edwith.org/ 무료 이미지 음원 (그래도예의상 출처와원저작자 표기 권장) https://unsplash.com/ https://www.youtuibe.com/audiolibrary/music 이미지, 등 (일부 저작권 주의) 마우스 우클릭 -이미지 복사 https://thenounproject.com/ 붙붙넣기 (원본서식 유지) https://soundcloud.com/ https://gongu.copy1ight.or.kr/gongu/main/main.do 31
48:06 ~ 48:15 -  예의상 뭔가 가져다 썼다 라고 하면은 좀 표기를 해주는게 좋겠죠 저작권에 대해서 그래서 unsplash.com 이라든지 아니면 아니면은 음악 같은
48:15 ~ 48:22 -  경우에는 유튜브에 보면은 로그인을 하시고 오디오 라이브러리에 뮤직을 가시면
48:22 ~ 48:27 -  여기서 좋은 음악들을 받으실 수 있으니까 무료로 쓸 수 있는 거
48:27 ~ 48:30 -  그런 거 쓰시면 되겠고요.
48:30 ~ 48:37 -  이미지나 음원은 사운드 클라우드 를 사용하시면 좋을 것 같습니다.
48:37 ~ 48:43 -  자 이렇게 해서 Kotlin 언어에 대해서는 설명을 마치도록 하고요.
48:43 ~ 48:47 -  이제 다음부터 개발 환경 구축하는 것부터 그 다음에 실제로 안드로이드
48:47 ~ 48:50 -  프로그래밍 짜는 것을 설명을 드리 도록 하겠습니다.
48:50 ~ 48:53 -  이번 강의는 여기서 마치겠습니다
49:00 ~ 49:00 -  you
49:00 ~ 49:20 - 금오공대 교수 http://bwoh.tistory.com 금오공과대학교 교수학습개발센터
