00:00 ~ 00:14 -  안녕하세요. 웹프로그래밍 강의입니다.
46:09 ~ 46:17 -  인코딩을 할 거냐 이런 것들을 얘기하는 건데 그 패킷을 정의해 가지고 서로 어 이 약속에 따라서
46:17 ~ 46:22 -  어 데이터를 주고받는 거라고 보시면 되겠죠 프로토콜 이라고 보시면 되겠고
46:22 ~ 46:30 -  월드와이드 웹에서는 그 http 프로토콜을 사용하고 있습니다
46:30 ~ 46:34 -  그래서 클라이언트 하고 서버 라는 개념이 나오게 되는데요
46:34 ~ 46:42 -  클라이언트는 서버에 먼저 요청을 하게 됩니다. 요청 request 라고 하는 단어가 중요합니다. 요청을 하는게 중요합니다
46:42 ~ 46:53 -  이때 사용자가 얼굴 앞에 있는 눈앞에 있는 클라이언트를 통해 가지고 네트워크를 사용하게 되죠
46:54 ~ 47:00 -  자 그래서 이렇게 사용자 앞에 있다고 해서 프론트엔드 사용자 쪽에 앞쪽에 제일 끝에
47:00 ~ 47:05 -  앞에, 앞쪽 제일 끝, 그러니까 사용자하고 제일 가깝게 붙어있다라고 해서
47:05 ~ 47:09 -  프론트엔드라고 그렇게 얘기를 하게 되고요.
47:09 ~ 47:13 -  그 다음에 서버는 클라이언트 요청에 대한 처리를 수행하고
47:13 ~ 47:20 -  결과를, 리스펀스를 반환하게 되는 거죠. 응답을 반환하게 되는 거죠.
47:20 ~ 47:20 -  그래서 서버라고 하는 것은 사용자 입장에서 보면은 네트워크 건너편을 응답을 반환하게 되는 거죠.
47:24 ~ 47:26 -  그래서 서버라고 하는 것은 사용자 입장에서 보면 네트워크 건너편에 있는 거죠.
47:26 ~ 47:30 -  근데 우리가 이제 앞으로 할 때도
47:30 ~ 47:31 -  실습이나 이런 걸 할 때도
47:31 ~ 47:36 -  기본적으로는 클라이언트하고 서버의 역할이 분리되어 있기는 하지만
47:36 ~ 47:39 -  한 컴퓨터에 있을 수도 있다
47:39 ~ 47:42 -  한 컴퓨터에서 한 컴퓨터가 클라이언트 역할도 하고
47:42 ~ 47:45 -  서버 역할도 할 수 있다는 것도
47:45 ~ 47:48 -  기본적으로 알아두시면 좋을 것 같긴 합니다
47:48 ~ 47:51 -  요청하고 응답을 말씀드리려고 전화로 커피 주문을 기본적으로 알아두시면 좋을 것 같긴 합니다.
47:53 ~ 47:55 -  요청하고 응답을 말씀드리려고 전화로 커피 주문하는 거
47:55 ~ 47:57 -  이 그림을 계속 쓸 거예요.
47:57 ~ 47:59 -  그래서 커피 주문을 위해서 전화번호를
48:00 ~ 48:09 -  확인을 하고요. 전화를 걸죠. 그래서 커피를 아이스 아메리카노 커피 한잔 주시는데요. 샷 추가 해주세요 라고 커피를 주문하게 됩니다.
48:10 ~ 48:18 -  그러면은 서버 서비스를 제공하는 서버에서는 받아가지고 알겠습니다 하고 커피를 제조를 한 다음에
48:18 ~ 48:22 -  에스프레소 두 잔을 내려가지고 샷 추가하니까요. 얼음하고 제조한 다음에 에스프레소 2잔을 내려가지고
48:22 ~ 48:25 -  차 추가하니까요. 얼음하고 물 추가한 다음에
48:25 ~ 48:27 -  아이스 아메리카노를 제조하고
48:27 ~ 48:30 -  그거를 요청받은 주소로 커피를 배달하면 됩니다.
48:30 ~ 48:39 -  끝나겠죠 그래서 클라이언트 그러니까 고객 소비자 여기는 서버 제공하는 사람 이렇게 되겠죠
48:39 ~ 48:46 -  자 이거를 이제 이렇게 바꾸면요 클라이언트 하고 서버 일반적인 얘기입니다 그래서 클라이언트가
48:46 ~ 48:52 -  여기도 os 가 있을 거고 os 가 있을 거고 os OS에서 동작하는 프로세스들이 이렇게 있겠죠.
48:52 ~ 48:57 -  얘를 이제 클라이언트 프로세스, 얘를 서버 프로세스라고 보시게 되면은
48:57 ~ 49:00 -  클라이언트가 서버 주소하고 포트,
49:00 ~ 49:06 -  어려운 내용인데 아무튼 뭔가 이런 서버 주소하고 포트가 필요하다고 생각을 하시고요
49:06 ~ 49:16 -  네트워크 프로토콜을 통해서 서버에 요청을 하게 됩니다 아까 여기서 이렇게 커피 주문 하듯이 마찬가지로 여기서 리퀘스트 하게 된다는 얘기죠
49:16 ~ 49:29 -  그래서 그때는 리뷰 게시판에다가 뭐 데이터를 추가해 달라 뭐 이런 요청을 할 수 있겠죠. 그러면 이 서버에서는 요청을 받아서 뭔가 처리를 해주겠죠. 그래서 데이터를 리뷰하고요.
49:30 ~ 49:36 -  리뷰 게시판에 추가하고요. 그 다음에 그게 성공인지 실패인지 응답에 저장을 한 다음에
49:36 ~ 49:46 -  이거를 응답을 이렇게 클라이언트로 다시 리스펀스를 전달해 주는 이런 과정을 거치게 되는 것이 이거랑 똑같겠죠.
49:46 ~ 49:54 -  그래서 이런 통신을 위해서 데이터를 주고받기 위한 패킷을 정해야 된다 아까 패킷 얘기 했었죠? 그래서 패킷을 정의하게 됩니다
49:54 ~ 50:00 -  이걸 잘 보시고 이거를 이렇게 그림을 계속 쓰고 있죠
50:00 ~ 50:05 -  웹서버 간의 통신에 대해서 말씀을 드리고 있는 건데요.
50:05 ~ 50:09 -  요청이라고 하는 거. 여기서는 윈도우즈를 썼네요.
50:09 ~ 50:12 -  아까는 그냥 클라이언트 OS 했었는데
50:12 ~ 50:16 -  여기서는 윈도우즈. 예를 드는 거니까요. 윈도우즈라고 했네요.
50:16 ~ 50:20 -  윈도우즈에서만 된다는 얘기는 아니고요. 맥OS 이런 것도 되겠죠.
50:20 ~ 50:22 -  그 다음에 참고로 만약에 이게 여러분들이 윈도우하고 S서만 된다는 얘기는 아니고요 맥 OS 이런 것도 되겠죠 그 다음에 참고로 만약에 이게
50:22 ~ 50:25 -  여러분들이 윈도우하고 S가 없을 때랑요
50:25 ~ 50:28 -  윈도우즈가 있을 때랑이 다른 의미입니다
50:28 ~ 50:30 -  윈도우라고 하는 건 창이라는
50:30 ~ 50:35 -  일반 명사가 되는 거구요 윈도우즈가 되면 마이크로소프트에서 만든 운영체제 있죠
50:35 ~ 50:44 -  그게 되는 겁니다 고유명사가 되는 겁니다 자 그래서 사용자가 웹브라우저 이제 아까 여기서는 클라이언트 프로세스 라고
50:44 ~ 50:53 -  했었는데 여기서는 웹브라우저라고 지정을 했네요 예를 들면 엣지 같은거 사파리 같은걸 얘기하는 겁니다 그래서 사용자가 웹브라우저 주소창에 서버 주소하고 포트를,
50:53 ~ 50:55 -  또 포트가 나왔네요.
50:55 ~ 51:00 -  포트를 입력, 중요한 거는 주소입니다.
51:00 ~ 51:05 -  를 입력해 가지고 서버에 리퀘스트 를 보내는 거죠 그런 다음에 여기에서
51:05 ~ 51:13 -  add.js 파일을 어 그 실행을 해주고 이거를 요청을 하고 실행해 달라고
51:13 ~ 51:18 -  요청을 하고 그 다음에 추가할 데이터를 지정을 하는 거죠 자 그러면은 서버
51:18 ~ 51:30 -  에서는 아 그래 그러면은 add.js 파일을 실행하고 실행된 결과를 add.js 파일을 실행할 때는 여기서 넘겨준 추가할 데이터를
51:30 ~ 51:37 -  추가하라는 것 같으니까요 이걸 가지고 추가해 주겠죠 그렇게 하고 나서 그 실행된 결과를 html 로
51:37 ~ 51:48 -  어 우리 지금 그 왜 풀어 보자 니까요 html 로 인코딩을 해가지고 어이 거를 요청받은 주소로 응답을 전송한다
51:48 ~ 51:51 -  라고 되어 있네요 자 그러니까 여기에 요 앞에 있는
51:51 ~ 51:55 -  요거랑요 더 앞에 가보면 이거랑 커피 주문하고 커피 제조하고 커피
51:55 ~ 52:00 -  배달하는 거랑 그 다음에 리퀘스트 받아서 프로세스하고 리스판스 주는 거
52:00 ~ 52:04 -  전부 다 같은 구조를 갖고 있다는 거죠.
52:04 ~ 52:08 -  자 그래서 이 앞부분을 사용자가 여기 있을 테니깐요.
52:08 ~ 52:12 -  사용자가 이걸 쓰겠죠. 그래서 이 부분을 프론트엔드라고 하고
52:12 ~ 52:15 -  이렇게 멀리 떨어져 있는 부분을 백엔드라고 한다.
52:15 ~ 52:20 -  라고 보시면 되겠죠. 여기 뭐 DVD 있고 그러겠죠. 실제로는.
52:20 ~ 52:24 -  자 그래서 이거를 개발하는 거, 이걸 개발하는 사람을
52:24 ~ 52:27 -  프론트엔드 개발자라고 부르고요.
52:27 ~ 52:30 -  이 부분을 개발하는 사람은
52:30 ~ 52:35 -  개발자를 백엔드 개발자라고 부릅니다.
52:35 ~ 52:40 -  그리고 이거 이거 난 다 해. 이거 이거 다 하겠다.
52:40 ~ 52:45 -  다 한다. 나 할 줄 알아. 그런 사람을 풀스택 개발자라고 얘기하게 되는 거죠.
52:45 ~ 52:50 -  그래서 풀스택 개발자라고 하는 사람은 프론트엔드하고 백엔드를
52:50 ~ 52:52 -  모두 개발하는 사람이라고 보시면 되겠죠.
52:54 ~ 52:59 -  실제로는 개발한다는 게 컴퓨터공학과 학생들에 한해서 말씀드리는 건데요.
53:00 ~ 53:05 -  컴퓨터공학과 학생들이 되어야 되는 것은 사실은 아키텍트가 되어야 되겠죠.
53:05 ~ 53:07 -  설계하는 사람이 되어야 됩니다.
53:07 ~ 53:14 -  실제 코딩하는 거, 이걸 코딩하고 프로그래밍하고 이런 프로그래밍하는 걸 좀 낮춰서 우리가 코딩이라고 그렇게 부르는데
53:14 ~ 53:17 -  그런 거 그냥 코더들이 하면 되겠죠.
53:18 ~ 53:21 -  그래서 실제 설계하는 게 굉장히 중요하기 때문에
53:21 ~ 53:24 -  풀스택 개발자라고 되어 있지만
53:24 ~ 53:30 -  실제로는 이 전체를 설계할 수 있는 능력을 갖추는 그런 기능이 있습니다.
53:30 ~ 53:35 -  것들이 굉장히 필요하게 될 거라고 생각이 됩니다. 컴퓨터공학 전공자에 한해서요.
53:35 ~ 53:44 -  그냥 그게 아니고 여러분들이 컴퓨터공학 전공자가 아니다 라고 했을 때는 그냥 각각 이 프로그램, 이거 뭐 보통 이제 전체를 다 하지 않고
53:44 ~ 53:50 -  뭐 요거 요거 이제 별도로 이렇게 따로 나눠서 하구요. 뭐 하다보면 전체를 다 해야 될 수도 있으니까
53:50 ~ 53:52 -  어 풀스텍 개발자가 되기도 하겠지만요. 아무튼 그렇게 나눠서 하고요. 하다보면 전체를 다 해야 될 수도 있으니까 풀스택 개발자가 되기도 하겠지만요.
53:52 ~ 53:56 -  아무튼 그렇게 나눠지고 다 합친 것을
53:56 ~ 54:00 -  풀스택 개발자라고 한다는 단어를 알아주도록 하시고요.
54:00 ~ 54:09 -  자 그 다음에 아까 제가 포트 라고 얘기를 했었는데 음 포트는 어떤 컴퓨터에서 뭔가 통신을 하기 위해 가지고
54:09 ~ 54:18 -  어 여러 개의 그런 포트 번호를 가지고 있습니다 그래서 다 쓰는 건 아니구요 몇 개를 쓰는데 그중에서 80
54:18 ~ 54:23 -  포트 라고 하는 것은 웰론 포트 그러니까 잘 알려진 포트 라고 해가지고
54:23 ~ 54:30 -  어 1024 밑이었나 512 뭐 밑이었나 아무튼 그 밑에 있는 번호들은 지정이
54:30 ~ 54:37 -  무슨 서비스를 하기 위해서 쓴다 라고 하는 것이 지정이 되어 있고 그 위로는 필요에 의해서 쓰거나 아니면은
54:37 ~ 54:46 -  프로그래머가 그거를 개발자가 그거를 포트를 고정을 해가지고 뭐 어떨 때는 플랫폼 마다 그게 고정되어 있을 때도 있습니다. 물론 변경할 수 있지만요.
54:46 ~ 54:55 -  자 그래서 그런 포트라고 하는 개념이 있다라는 거예요. 그래서 서�근할 때 내가 80번으로 80번 포트로 접근을 했냐
54:55 ~ 55:00 -  아니면 21번 포트로 접근을 했냐에 따라서
55:00 ~ 55:05 -  서버가 달라진다 라는 것 같은 그 서버 라도 이 포트에 따라서 서비스가 바뀔
55:05 ~ 55:09 -  수 있다는거 알아 두시면 좋을 것 같습니다
55:10 ~ 55:13 -  자 그 다음에 하이퍼 텍스트 트랜스포 프로토콜 이라고 하는거 세대에서
55:13 ~ 55:18 -  보려고 하는데요 어이 www 그러니까 w3
55:18 ~ 55:22 -  줘 그러니까 월드와이드 웹 통신 규약.
55:23 ~ 55:25 -  이게 그 HTTP가 된다는 거죠.
55:25 ~ 55:30 -  그래서 이 HTTP는 월드와이드 웹 통신 규약이고
55:30 ~ 55:35 -  주로 HTML 문서를 통신하기 위한 규약이다 라고 보시면 되겠죠.
55:35 ~ 55:38 -  그래서 그걸 통신하는 게 아까처럼 앞에서 본 것처럼
55:38 ~ 55:42 -  request하고 response가 되는 거죠.
55:42 ~ 55:45 -  그 다음에 원하는 자원의 주소를 지정하기 위해서
55:45 ~ 55:49 -  URL이라고 하는 것을 사용하게 됩니다.
55:49 ~ 55:53 -  그래서 우리가 뭘 어떤 아까 여기서 이런 거 있었죠.
55:53 ~ 55:57 -  여기에 앞에 가보시면 여기서 뭔가를 서버 주소
55:57 ~ 56:00 -  해서 여기서 뭔가를 우리가 원하는 거를 이걸
56:00 ~ 56:07 -  지정을 해야 될 거 아니에요. 이렇게 지정을 할 때 쓰는 방법이 url 이다 라는 거죠.
56:07 ~ 56:14 -  자 근데 url 이 여기 있는 거고요. 간혹 가다가 이렇게 uri 라고 하는 것을 쓰기도 합니다.
56:14 ~ 56:24 -  uri 라고 하는 것은 유니폼 리소스 아이덴티파이어의 id죠. 그런데 이 ID를 표현하는 방법이 두 가지가 있다고 보시면 되겠습니다.
56:24 ~ 56:30 -  네임하고 로케이터, 로케이터는 로케이션이 위치죠.
56:30 ~ 56:34 -  그러니까 어디에 위치하는지를 지정하기 위한 표기법이라고 보시면 되겠죠.
56:34 ~ 56:40 -  이것 말고도 name이 있고요. 그래서 이것을 합쳐서 URI라고 하는 것이 있다는 것.
56:40 ~ 56:48 -  그래서 URI라고 하는 것. 그러니까 URL은 URI죠. 이게 더 위의 개념이니까. 여기 두 개가 있으니까요.
56:48 ~ 57:00 -  그래서 아무튼 URL이라고 우리가 URL을 사용하는데 다른 프로그래밍 같은거 하시다 보면은 url 인데 분명히 url 을 지정하는데 class 는 uri
57:00 ~ 57:03 -  클래스를 쓰는 경우가 여러분들이 보시게 될 겁니다.
57:03 ~ 57:09 -  그래서 그 URI라고 하는 것이 URI는 URL, URN을 다 포함하고 있으니까
57:09 ~ 57:13 -  여기서는 URI를 쓰는구나. 여러분들 그렇게 생각하시면 되겠죠.
57:13 ~ 57:17 -  자, 이게 주소창에 쓰는 건데 URL인데요.
57:17 ~ 57:22 -  URL에 보시면 앞에 이렇게 어떤 프로토콜을 쓸지 프로토콜이 나오고요.
57:22 ~ 57:25 -  그 다음에 colon, slash, slash를 씁니다.
57:25 ~ 57:27 -  이거 반드시 두 개, slash 두 개 있어야 되겠죠.
57:28 ~ 57:29 -  자, 그러다 보면 이거는 잘 쓰지는 않는데
57:30 ~ 57:32 -  이렇게 유저 인포메이션을 쓰는 경우도 있습니다.
57:32 ~ 57:34 -  그래서 홍길동이죠.
57:35 ~ 57:40 -  gd홍 하고 패스워드 이렇게 쓰면 다 보이니까 이렇게 잘 쓰지는 않는데
57:40 ~ 57:44 -  그냥 gd홍 이 부분 콜론하고 패스워드 부분을 제외하고
57:44 ~ 57:48 -  addmark 이렇게 쓰게 되면 패스워드를 물어보는 경우가 많이 있습니다.
57:50 ~ 57:52 -  뭐 이런 식으로 쓰기도 하고요. 근데 이렇게 패스워드를 물어보는 경우가 많이 있습니다. 뭐 이런 식으로 쓰기도 하고요.
57:52 ~ 57:56 -  패스워드를 이렇게 보이게 쓰면 안 좋겠죠 당연히.
57:56 ~ 58:00 -  아무튼 이렇게 아이디하고 패스워드를 지정할 수도 있고요.
58:00 ~ 58:06 -  이런건 잘 쓰지 않겠죠 그죠 자 그 다음에는 요 부분 우리가 흔히 보는거
58:06 ~ 58:12 -  www. 어쩌구저쩌구.com에서 호스트를 지정을 하고 그 다음에 아까 말씀드렸던
58:12 ~ 58:18 -  포트 아까는 80이 기본이라고 했는데 8080 포트를 여기서 지정을 했네요 그래서
58:18 ~ 58:22 -  이때는 콜론을 쓰게 된다. 그래서 for2를 이렇게 지정을 한 다음에
58:22 ~ 58:25 -  그 다음에는 그 슬래시로 나오게 되는데
58:25 ~ 58:30 -  이 슬래시 나오는 것이 path, 그러니까 경로라고 하는 거죠.
58:30 ~ 58:33 -  우리가 접근해야 될 경로를 얘기해 준다 라고 보시면 되겠고요
58:33 ~ 58:35 -  그 다음에 여기에 물음표 뒤에 나오는 것들
58:35 ~ 58:39 -  그 다음에 이게 이렇게 퀴리라고 부르는데
58:39 ~ 58:43 -  퀴리가 여러 개가 있다고 했을 때는 이렇게 AND로 연결하는 거죠
58:43 ~ 58:48 -  지금 보니까 MAX하고 SINCE 두 개가 있는 거죠
58:48 ~ 58:50 -  이런 식으로 AND로 연결을 하고
58:50 ~ 58:52 -  퀴리하고 연결할결할 때는 Pass하고 연결해서는
58:52 ~ 58:55 -  물음표를 쓴다 라는거 알아두시면 되겠구요
58:55 ~ 59:00 -  그 다음에 HTTP secure라고 해서
59:00 ~ 59:09 -  HTTPS 해가지고 보안을 강화하기 위해서 인증하고 암호화 된거를 그런 프로토콜을 요즘에 많이 사용하고 있죠
59:09 ~ 59:19 -  자 그 다음에 리퀘스트 하고 리스펀스 내용인데요 아까 그 그림에서 보면은 리퀘스트는 클라이언트에서 서버로
59:19 ~ 59:24 -  넘겨줄 때 쓰는 거 그 다음에 리스펀스는 서버에서 클라이언트로 넘겨줄 때 쓰는 거죠.
59:24 ~ 59:30 -  그래서 HTTP 통신을 위해서 주고받는 패킷은 텍스트 메시지로 구성된다
59:30 ~ 59:38 -  하는 거죠 일반적으로 우리가 뭐 tcp 쪽에서 쓰는 패킷 들은 바이너리 로 되어 있는 거가 많은데 여기서는 그냥 우리가 눈으로 볼 수 있는
59:38 ~ 59:47 -  그런 텍스트 메세지로 구성이 된다는 겁니다 그 다음에 보실 때 어떤 빈 공백 줄이 있다라고 하면은 아무것도 아닌 것 같아 보이지만
59:47 ~ 59:51 -  이게 굉장히 중요한 귀하기 다 라는 것을 주의하라고 했는데
59:51 ~ 59:54 -  예를 들면 이런 거예요. 여기 지금 한 줄에 비어 있죠.
59:54 ~ 60:00 -  어? 이게 뭐 이렇게 비어 있죠? 이 부분을 지우면 이 규약에 벗어나게 된다는 거죠.
60:00 ~ 60:06 -  빈 줄도 굉장히 중요한 역할을 한다 라는 것을 주의하셔야 된다 라는 거구요
60:06 ~ 60:10 -  우리가 직접 헤더를 바꿀 일이 없을 테니까 크게 중요하지는 않지만
60:10 ~ 60:15 -  아무튼 알고 계시는 것이 좋을 것 같습니다
60:15 ~ 60:18 -  간혹가다 헤더를 건드리는 경우 있을 수 있으니까요
60:18 ~ 60:21 -  자 그 다음에 이제 request 하고 response로스트 하고 리스펜스 로 나누게 되는데요
60:21 ~ 60:30 -  리퀘스트 나중에 이제 다 잘 그 내용이 다 나오게 될 건데 어 겟 메소드 라는거 리퀘스트 할 때는 겟 메소드
60:30 ~ 60:37 -  라는거 하고 포스트 메소드를 많이 씁니다 이거 말고도 많이 있거든요 근데 일반적으로 우리가 쓰는거 쓰게 될 것은 겟 메소드 하고
60:37 ~ 60:44 -  포스트 메소드 난 생활하게 될 거에요 그래서 겟 메소드 라고 하는건 이게 주소탕 주소 창이다 그러면은
60:44 ~ 60:51 -  그 주소 창에다가 url 이렇게 쭉 쓰게 되죠 그래서 거기에 이런식으로 퀼이나 이런 것들이 다 포함되어 가지고
60:51 ~ 61:00 -  주소창에서 바로 보이게 된다 라는 것을 좀 주의하시면 되겠죠 근데 포스트 메소드 라고 하는 것은 이렇게
61:00 ~ 61:09 -  주소창에 바로 다 보이지 않아요 이런 커리들이 그러니까 어 그렇다고 완전히 보안 측면에서 완벽한 야는 그렇진 않은데
61:09 ~ 61:16 -  어쨌든 그 이 메세지를 보면 다 보이니까요 근데 바로 이렇게 주소창에는 보이지 않는다
61:16 ~ 61:24 -  폴 포스트 메세지 든요 그래서 어 리퀘스트의 바디를 가지고 있고 이런 식으로 이 바디를 가지고 있죠 그래서 바�에 body를 가지고 있고 이런 식으로 body를 가지고 있죠. 그래서 body를 가지고 있고 거기에
61:24 ~ 61:30 -  query를 이렇게 포함하는 형태로 쓸 수 있다라는 거야. 이 부분 우리가 굳이 찾아보지
61:30 ~ 61:33 -  보기는 힘든 거라고 보시면 되겠죠.
61:33 ~ 61:37 -  간략화된, 굉장히 간략화시켜서 나타낸 겁니다.
61:37 ~ 61:42 -  그래서 이런 식으로 게시나 포스트 방법으로 서버에 요청을 하게 되고요.
61:42 ~ 61:48 -  서버에서 응답하는 거는 리스펀스는 200, 숫자가 있어요.
61:48 ~ 61:53 -  100번, 200번 떼서 숫자가 쫙 나열되어 있는데 많이 쓰는 거, 우리가 보게 될 거.
61:53 ~ 61:58 -  200은 성공했다는 얘기고요. 정말 많이 보셨죠? 404 Not Found.
62:00 ~ 62:08 -  400번 때 오류는 뭔가 클라이언트가 잘못한 경우입니다. 없는 걸 달라고 했을 때 404나 파운드가 나오는거 많이 보셨을 거에요
62:08 ~ 62:17 -  자 그 다음에 우리가 실제로 이제 서버를 만들게 되면은 음 우리가 내는 오류들 서버를 만들다가 내는 오류들 그럴 때 500번
62:17 ~ 62:22 -  인터널 서버 에러가 수시로 발생하게 될 겁니다.
62:22 ~ 62:24 -  너무 좌절하지 않으셔야 되겠죠.
62:24 ~ 62:25 -  그래서 고치면 되니까요.
62:25 ~ 62:30 -  그래서 500번 때 우리는 서버가 잘못한 거다.
62:30 ~ 62:35 -  404나 파운드 정도 200번 오케이 뭐 이 정도만 하셔도 되지 않을까 싶기도 하고요
62:35 ~ 62:38 -  그 다음에 갯포스트는 반드시 하셔야 될 것 같구요
62:38 ~ 62:43 -  자 그래서 장시간 말씀을 드렸었는데
62:43 ~ 62:49 -  인터넷이라고 하는 것은 네트워크하고 네트워크를 연결한 거였었다
62:49 ~ 63:00 -  그래서 네트워크하고 네트워크를 연결하다 보니까 전세계가 연결되어 버린게 인터넷이고 인터넷을 사용하는게 굉장히 많은데 그 중에서 html 관련
63:00 ~ 63:09 -  월드와이드 웹이다. 그래서 이 월드와이드 웹은 인터넷이나 웹하고 혼용해서 사용한다는 거죠.
63:09 ~ 63:16 -  자, 그 다음에 HTML이라고 하는 것은 일반 텍스트로 표현할 수 있는 것보다 다양한 정보들을 표현하는 게 가능하고요.
63:16 ~ 63:23 -  프로토콜이라고 하는 이 단어를 여러분들이 아셔야 되는데, 네트워크를 통해서 데이터를 주고받는 통신을 위해서 정해놓은 규약이다
63:23 ~ 63:30 -  그래서 이 규약을 벗어나면 이걸 따르지 않으면 통신이 불가능하다는 거
63:30 ~ 63:33 -  중요하다. 이걸 따라주는 게 굉장히 중요하다는 거 알아두시도록 하시고요.
63:34 ~ 63:36 -  그 다음에 HTTP라고 하는 거.
63:36 ~ 63:39 -  이거는 HTML을 주고받을 때 쓰는 그런 프로토콜인데
63:39 ~ 63:42 -  리퀘스트하고 리스판스가 있다.
63:42 ~ 63:45 -  라는 정도로 간략히 알아두시면 되겠습니다.
63:45 ~ 63:46 -  자, 고생 많으셨습니다.
64:00 ~ 64:00 -  you
