00:00 ~ 00:26 -  안녕하세요 안녕하세요. 웹프로그래밍 강의입니다.
46:35 ~ 46:37 -  것이 있고요. 리스트를 위한 태그들이
46:37 ~ 46:39 -  순서를 쓰는
46:39 ~ 46:41 -  오더드 리스트라고 하는
46:41 ~ 46:44 -  ol이라고 하는 태그가 있는데
46:44 ~ 46:45 -  거기에 li
46:45 ~ 46:47 -  리스트 아이템이라고 하는 태그가 있습니다.
46:48 ~ 46:49 -  그래서 얘는 뭐냐면
46:49 ~ 46:54 -  1 텍스트 여기 있는 거 2 텍스트 이런 식으로 표현해 주는 거거든요.
46:54 ~ 47:00 -  그래서 이런 식으로 일 리스트 아이템이 있으니까 일 텍스트
47:00 ~ 47:02 -  오더드 리스트니까 1 텍스트 하고요.
47:02 ~ 47:06 -  그 다음에 다음 한 줄 내려서 2 텍스트 이렇게 보여주게 되는데
47:06 ~ 47:13 -  여기에 이렇게 쓰여 있는 부분도 똑같이 1. 텍스트하고 한 줄 내리고
47:13 ~ 47:14 -  이게 한 줄 내리라는 거거든요.
47:14 ~ 47:18 -  한 줄 내리고 2. 텍스트하고 또 한 줄 내리고
47:18 ~ 47:23 -  이런 식으로 두 개가 웹브라우저에서 표현되는 걸로 봤을 때는
47:23 ~ 47:26 -  똑같이 표현이 된다는 거죠.
47:26 ~ 47:30 -  근데 얘는 그냥 눈에 보이는 것만 생각하면
47:30 ~ 47:42 -  때문에 이게 어떤 리스트의 아이템으로서 요거하고 요거의 데이터가 이 리스트에 속한다라는 그런 것들을 가지고 있지 않고 그냥 텍스트들로 쭉 연결이 돼 있어가지고
47:42 ~ 47:51 -  이거는 나중에 분석하거나 이럴 때 굉장히 좋지 않다라는 거죠. 뭔가 이렇게 구조적으로 이렇게 되어 있으면
47:51 ~ 47:54 -  아 리스트 중에 얘네들 리스트 아이템이 두 개 있구나. 그리고 뭐하고 뭐구나
47:54 ~ 48:00 -  할 수 있는데 얘는 그냥 텍스트로 되어 있으니까 이게 뭐 리스트의 아이템인지
48:00 ~ 48:06 -  그냥 꾸며 주는 건지 메뉴인지 알 수가 없다는 거죠
48:06 ~ 48:15 -  자 이런게 있을 수 있구요 그 다음에 버튼하고 div 어 요즘 웹페이지를 보면 전부 다 div죠
48:15 ~ 48:24 -  구역을 나눠 놓고 이 구역 이 구역 해가지고 쓰는 뭐 이런 형태로 되어 있습니다.
48:24 ~ 48:30 -  물론 이제 아주 나쁜 것은 아니라고 생각은 하는데 어쨌든 버튼 같은
48:30 ~ 48:36 -  경우를 구현을 할 때도 그냥 div 로 만드는 경우도 있거든요. 저도 저렇게 만드는 경우 있습니다.
48:36 ~ 48:46 -  그래서 그냥 div 에다가 그 css 로 꾸며 가지고 마치 버튼인 것처럼 만들고 거기에다가 자바스크립트로 그걸 눌렀을 때 어떤 하는 일을
48:46 ~ 48:52 -  정의하고 이렇게 쓰는 경우도 있는데 이런 식으로 그냥 단순하게 div로 쓰는 것보다는
48:52 ~ 48:55 -  뭔가 버튼의 역할을 수행한다고 했을 때는
48:55 ~ 48:59 -  그때는 버튼, div 대신에 버튼을 쓰는 것이 좋겠습니다.
49:00 ~ 49:07 -  그 다음에 또 버튼하고 앵커 그러니까 아까 하이퍼링크 A태그 얘기했었죠.
49:07 ~ 49:15 -  그래서 버튼하고 A태그인 경우에도 뭔가를 눌러 가지고 뭘 처리하는 거다 그러면 버튼이 맞을 거고요.
49:15 ~ 49:21 -  만약에 눌러 가지고 다른 데로 연결이 된다. 다른 문서로 만약에 옮겨간다.
49:21 ~ 49:25 -  하이퍼링 그 기능을 갖고 있다라고 했을 경우에는 A를 쓰는 게 맞겠죠.
49:25 ~ 49:30 -  우리가 원래 태그의 의미대로 써라 라는 거라고 여러분들이
49:30 ~ 49:35 -  이해하시면 되겠고요. 그 다음에 이태릭체로 강조하기 위해서
49:35 ~ 49:40 -  i라고 하는 태그를 여태까지 많이 썼는데 이제 그 Semantic 태그로
49:40 ~ 49:45 -  em이 Emphasized라는 거죠. 그러니까 강조된 이라고 하는 의미로
49:45 ~ 49:50 -  em이라고 하는 태그를 제공을 하고 있는 거죠. 그래서
49:50 ~ 49:52 -  i 태그, em 태그 전부 다 똑같이
49:52 ~ 49:54 -  이탈릭체로 표현이 되고요.
49:54 ~ 49:56 -  그 다음에 유사한 게 또 뭐 있냐면
49:56 ~ 50:00 -  strong이라는 태그랑 b라고 하는, b는 bold입니다.
50:00 ~ 50:02 -  그러니까 굵게 나타내는 거죠.
50:03 ~ 50:05 -  마찬가지로 Strong도 굵게 나타내 주거든요.
50:06 ~ 50:09 -  그래서 Bold하고 Strong이 있고
50:09 ~ 50:12 -  Eye하고 E, M이 눈으로 보기에는 똑같다는 거죠.
50:12 ~ 50:13 -  각각.
50:13 ~ 50:15 -  근데 그럼 뭐가 다르냐?
50:15 ~ 50:16 -  라고 했을 경우에는
50:16 ~ 50:19 -  아까 Accessibility 할 때
50:19 ~ 50:22 -  화면 리더기가 인식하기에 좋다고 했죠.
50:22 ~ 50:26 -  그러니까 여기에 strong이라고 하는 게 되어 있다라고 하면은요.
50:26 ~ 50:30 -  화면 리더기가 예를 들면 이거를 좀
50:30 ~ 50:35 -  강하게 읽어 줄 수도 있겠죠. strong이 강하다는 거니까 얘는 좀 강조해서 읽어주고요.
50:35 ~ 50:40 -  뭐 이런 식으로 화면 리더기 구현에 따라서 달라질 수도 있겠지만
50:40 ~ 50:45 -  어쨌든 그런 것들이 그 시멘틱 태그들을 의미가 있는 태그들을
50:45 ~ 50:50 -  생활하게 되면은 이런 것들이 가능하게 된다는 거죠. 얘네들 그냥 화면에
50:50 ~ 50:52 -  단순하게 화면에 이틀렉트를 표시하고 굵게 표시하고 이런 것보다는하게 된다는 거죠. 얘네들은 그냥 화면에 단순하게 화면에 이틀렉트로 표시하고
50:52 ~ 50:54 -  굵게 표시하고 이런 것보다는
50:54 ~ 50:57 -  아, 이건 좀 뭔가 강조하는 의미야 라고
50:57 ~ 51:00 -  얘는 뭐 강조하는 거 얘는 좀
51:00 ~ 51:08 -  강하게 강조하는 의미 이렇게 쓰는 것이 조금 더 좋겠다는 겁니다.
51:08 ~ 51:12 -  그 다음에 웹페이지 구조라고 하는 것이 있는데요.
51:12 ~ 51:16 -  이것도 시멘틱 태그들의 하나인데
51:16 ~ 51:26 -  헤더, 메인, 푸터, 중요한 부분은 메인 이렇게 나타내고
51:26 ~ 51:30 -  그 다음에 내비게이션 요즘
51:30 ~ 51:41 -  요즘 홈페이지를 보면 위에 이렇게 링크들 연결하는 거 있죠? 그런게 이제 내비게이션이 되겠고 그 다음에 옆에 뭐 광고가 뜬다든지 그럴 때
51:41 ~ 51:49 -  aside 이런거 쓸 수 있구요 이런 것들을 가지고 구조를 만들 수 있다는 거죠 근데 한가지 여러분들이 주의하셔야 되는게
51:49 ~ 51:52 -  뭐냐면은 자 이걸 했다고 해서 헤더는 반드시 위에
51:53 ~ 51:55 -  물론 일반적으로 그렇게 될 것 같긴 한데요.
51:55 ~ 52:00 -  헤더라고 하면은 위에 나타나고 후터라고 하면은 밑에 나타나고
52:00 ~ 52:05 -  뭐 어사이드 라고 하면은 오른쪽에 나타나고 이렇게 생각하실 수 있는데
52:05 ~ 52:08 -  그게 아니라는 거죠. 이거는 시멘틱 태그니까
52:08 ~ 52:15 -  어떤 이 태그, 여기 데이터가 어디에 속하는지를 보여주는 거지
52:15 ~ 52:21 -  이걸 가지고 화면에다가 뭐 이거는 어사이드 했다고 그래서 오른쪽에 보여주고
52:21 ~ 52:26 -  그렇게 출력이 어떻게 되는지 이거를 결정하는 것은 아니다 라는 거를
52:26 ~ 52:30 -  여러분들이 좀 생각을 해 주시면 좋을 것 같고요
52:30 ~ 52:37 -  섹션하고 아티클이라고 하는 태그가 있는데 일반적으로는 예를 들면 무슨 경제 섹션이다
52:37 ~ 52:42 -  신문에 보면 경제 섹션이 있다 그럼 거기에 기사들이 그 안에 이렇게 들어 있겠죠
52:42 ~ 52:53 -  뭐 그런 식으로 섹션이 있고 주제별 어떤 그룹이 있고 거기에 그 기사나 아니면 블로그 포스트 같은 것들이 들어갈 수 있는 이런 구조로 되어 있겠죠
52:53 ~ 52:56 -  근데 이게 또 보면은 반드시 또 그렇지도 않은 게
52:56 ~ 53:00 -  아티클 안에 또 섹션이 들어가는 경우는
53:01 ~ 53:11 -  그래서 그냥 여러분들께서 정답이 있는 게 아니고 이거는 의미론적으로 이런 태그를 쓴다라는 거 정도로 여러분들이 생각을 하시면 좋을 것 같습니다.
53:13 ~ 53:22 -  자 그래서 2장에서 개발 환경 구축에서 사용했던 구름 아이디를 사용을 해가지고 다시 한번 구름 아이디에 그
53:22 ~ 53:30 -  id2.gurum.io 접속하셔가지고 거기에 로그인을 하시구요. 그러면 거기에 만들어 놓은
53:30 ~ 53:37 -  컨테이너가 있을텐데 거기서 실행을 눌러주시면 자 이런식으로 실행이 될 겁니다
53:38 ~ 53:44 -  자 그래서 기존에 했던거 실행하는거 해보면 지난 시간에 만들었던게 그냥 실행이 되겠죠
53:44 ~ 53:57 -  success 해가지고 실행이 될 텐데요 그 부분 index.html 파일이라고 하는 것을 더블클릭해서 이 부분을 좀 바꿔보자는 겁니다.
53:57 ~ 54:00 -  그래서 제일 처음에 바꿨던 부분은 이 부분입니다.
54:00 ~ 54:01 -  4라인이죠.
54:01 ~ 54:03 -  title을 집어 넣었더니
54:03 ~ 54:06 -  변경 전에는 이렇게 나타났었는데
54:06 ~ 54:09 -  변경 후에는 이 부분이 바뀌는 거가
54:09 ~ 54:13 -  title이구나 라는 것을 알게 된다 라는 거죠.
54:13 ~ 54:19 -  그래서 이런 식으로 바꿔보면 되겠습니다.
54:19 ~ 54:20 -  자 한번 해��면요
54:20 ~ 54:29 -  자 여기 콜렙이 있으니까 콜렙 따라서 여러분들 똑같이 하시면 되겠죠
54:30 ~ 54:40 -  자 요 부분 요 부분이 타이틀 요 부분이라고 보시면 되겠는데요 자 이 부분을 반영을 하면 되는데 여기에 헤드 이 위에 부분에 지금 먼저 테스트를
54:40 ~ 54:46 -  해보는게 좋겠죠 그래서 프로젝트에 가서 여기가 있나요 여기 있으니까
54:46 ~ 54:51 -  자 새로고침 했는데 자 이런식으로 석세스 느낌표 이렇게 뜨게 되는 거죠.
54:51 ~ 54:54 -  자 그래서 이 부분이고요.
54:54 ~ 54:58 -  중요한 거는 이 윗부분인데 이게 지금 화면을 벗어나 있네요.
54:58 ~ 55:00 -  그러니까 이 부분에
55:00 ~ 55:03 -  여기에 이렇게 변경 전에는 이렇게 표시가 되어 있는데
55:03 ~ 55:11 -  이 부분을 바꾸니까 그 부분이 변경이 되더라 라는 겁니다.
55:12 ~ 55:18 -  자 이 부분 여기다가 타이틀 해가지고요.
55:18 ~ 55:20 -  자 이런 식으로 그냥 쓰면 됩니다.
55:20 ~ 55:23 -  지금 제가 여기서 타이틀 해가지고 이거를. 이런 식으로 쓰면 됩니다. 지금 제가 여기서 title 해가지고
55:23 ~ 55:25 -  이거를 시작 태그라고 하는데
55:25 ~ 55:30 -  앞으로 배울 거니까요. 일단은 그냥 따라서 해 보십시오.
55:30 ~ 55:40 -  이렇게 해가지고 꺽쇠를 닫는 꺽쇠를 하니까 이런 식으로 뭔가 이거랑 똑같이 생겼는데 중간에 슬래시 들어간 게 이렇게 하나 만들어진 걸 볼 수가 있겠죠.
55:41 ~ 55:43 -  자 이거를 시작 태그라고 부르고요.
55:43 ~ 55:49 -  이렇게 꺽쇠로 시작하는 거 그 다음에 꺽쇠 슬래시로 시작하는 거를 종료 태그라고 부릅니다.
55:49 ~ 55:55 -  그래서 그 사이에다가 이 시작 태그하고 종료 태그 사이에다가 데이터를 쓰는 거예요.
55:55 ~ 55:59 -  그러니까 제가 마컵이라고 하는 게 실제 데이터가 있고 그거를 꾸며주고
56:00 ~ 56:03 -  것들이 있다라고 했는데 이 타이틀 이라고 하는 것이 꾸며 주는 거구요
56:03 ~ 56:08 -  마크업 마킹 한거구요 여기에 이제 실제로 들어갈 이 웹
56:08 ~ 56:12 -  즉 아니구요 왜 프로그램이
56:13 ~ 56:16 -  이 부분이 실제 데이터가 되는 거죠 이 부분을 저 컨텐츠 라고 부르는데
56:16 ~ 56:20 -  내용 이라고 부르는데 실제 내용이 있는 거고
56:20 ~ 56:24 -  이거를 꾸며 주는 부분이 이렇게 들어가게 된다는 거죠
56:24 ~ 56:30 -  이거를 마킹한다 그래서 마크업 랭기지다 마크업을 이렇게 달아준다
56:30 ~ 56:35 -  이 웹프로그래밍이라고 하는 건 title이야 라고 알려주는 거죠
56:35 ~ 56:43 -  자 이렇게 하고 여기서 리로드 해보면은 바뀐거는 뭐 알 수가 없겠네요
56:43 ~ 56:50 -  자 그런 다음에 요 부분을 조금 더 변경을 해 보려는 거죠 자 이거는 그냥 여기 캡쳐 된 걸로 보시면 되겠구요
56:50 ~ 56:50 -  title이라고 쓴 부분이 여기에 변경되는거 보려는 거죠. 자 이거는 그냥 여기 캡쳐된 걸로 보시면 되겠고요.
56:50 ~ 56:54 -  여기 title이라고 쓴 부분이 여기에 변경되는 거 보시면 되겠고요.
56:54 ~ 57:00 -  그 다음에 구조를 위한 semantic 태그라고 하는 것들이 있는데
57:00 ~ 57:08 -  아까 그 헤더라든지 이런 부분들이 있죠? 그 부분인데 이 부분은 좀 내용이 많으니까
57:08 ~ 57:13 -  콜랩을 활용을 해보도록 하죠
57:14 ~ 57:30 -  이 부분을 Ctrl A, Ctrl C 하신 다음에 여기다가 Ctrl A,� v 해서 이렇게 집어 넣으시구요 컨트롤 s 로 저장해 보시죠 인덱스.html 에 그런 다음에
57:30 ~ 57:37 -  결과를 보시면 이런식으로 표시가 되는 것을 여러분들이 확인하실 수가 있을 겁니다
57:37 ~ 57:46 -  연결해서 지금 되는 것은 아니구요 강의 홈페이지는 여기에 보시면 지금 제가 footer 라고 하는 곳에다가 강의 홈페이지를
57:46 ~ 58:00 -  그 블로그를 연결해 놨죠 그러니까 여기서 이걸 누르면 은 이렇게 블로그 연결되는 것을 확인하실 수가 있을 겁니다 게시판으로 어 그래서 어 이런식으로
58:00 ~ 58:05 -  이렇게 분리가 되서 이렇게 나타나기는 했는데 아까 제가 말씀드린대로 이게
58:05 ~ 58:10 -  semantic 태그라고 하는 것이 얘를 얘를 aside 내용인데요
58:10 ~ 58:14 -  aside라고 했다고 해서 얘가 자동으로 여기다 이쪽에 표시해 준다던지
58:14 ~ 58:19 -  오른쪽에 표시한다던지 왼쪽에 표시한다던지 그런 것은 아니다 의미론적인
58:19 ~ 58:23 -  거다 라는 것을 여러분들이 조금 생각을 하셨으면 좋을 것 같습니다
58:23 ~ 58:30 -  자 이렇게 표시가 되는 거죠 자 요약을 해보면은요
58:30 ~ 58:38 -  HTML하고 그 다음에 HTML, CSS, 그 다음에 JavaScript가 서로 역할 분담을 하고 있다는 거예요.
58:38 ~ 58:47 -  그래서 HTML은 실제 데이터를 저장하는 역할을 하고 CSS에서는 표현 방법을 저장을 하고 있고요.
58:47 ~ 58:53 -  JavaScript에서는 뭔가 실행이 필요한 부분을 담당을 하고 있다 라고 보시면 되겠죠
58:53 ~ 58:59 -  자 그 다음에 HTML을 작성하실 때는 세 개가 다 연관되는 내용이긴 한데
59:00 ~ 59:09 -  어쨌든 SEO 그러니까 검색엔진 노출을 위해서 조금 노력할 필요가 있다고 하면 신경써야 된다는 거고요.
59:09 ~ 59:24 -  그 다음에 Accessibility 이것도 우리가 놓치기 쉬운데 더 많은 사용자들 특히 몸이 불편하신 분들 이런 분들을 위해서는 이런 거를 좀 고려해 가지고 가면 좋겠다라는 거죠.
59:25 ~ 59:30 -  저 같은 경우도 색약이 있으니까
59:30 ~ 59:37 -  상당히 불편할 때가 있습니다. 색깔 배치나 이런 것들이 세계학자들이 잘 안 보이는 배치가 있을 수가 있거든요.
59:37 ~ 59:41 -  그러니까 그런 것들을 신경 써주면 더 좋겠죠.
59:42 ~ 59:46 -  그 다음에 시멘틱 태그라고 하는 것에 대해서 설명을 드렸었는데
59:46 ~ 59:52 -  어떤 의미에 맞는 태그를 사용하는 것이 액세서빌리티나 아니면 SEO에 좋겠다.
59:53 ~ 59:54 -  검색에 최적화에 좋겠다.
59:55 ~ 59:56 -  라고 말씀을 드렸었죠.
59:56 ~ 59:58 -  장시간 동안 고생 많으셨습니다.
59:58 ~ 59:59 -  강의는 여기서 마치겠습니다.
60:00 ~ 60:01 -  Thank you.
